678747
SYN0009111
SYN0008476
SYN0010518
SYN0010039
SYN0008402
SYN0009164
SYN0008310
2295493
SYN0009450
SYN0010187
SYN0010479
847945
SYN0009091
SYN0009046
2229716
SYN0010181
SYN0004115
SYN0009862
1382035
SYN0009012
2295536
1392987
SYN0009083
SYN0010117
SYN0003847
SYN0008528
SYN0009865
SYN0008466
HFN0012416
SYN0008322
SYN0010418
2295503
SYN0009548
SYN0009060
SYN0009850
1475308
SYN0010517
SYN0010018
SYN0009884
2297544
SYN0010346
SYN0010421
SYN0009816
SYN0008198
SYN0009449
SYN0009064
SYN0009804
1209472
1322567
SYN0009453
2009877
SYN0009036
SYN0010540
SYN0009975
SYN0009966
SYN0010391
SYN0009937
SYN0010316
SYN0010179
SYN0010300
SYN0010362
SYN0010278
2295475
SYN0009005
HFN0012413
SYN0009084
SYN0009729
SYN0009699
SYN0010367
SYN0010095
SYN0010361
1209519
SYN0010545
2060341
SYN0010405
SYN0010574
847958
847782
SYN0009116
SYN0010159
SYN0010126
2295487
SYN0010541
SYN0008989
HFN0012411
SYN0009416
2295476
SYN0009181
2270035
847822
HFN0012436
SYN0009792
SYN0009842
1209497
678790
SYN0010401
848024
SYN0009085
SYN0009057
1973293
SYN0004130
SYN0010026
576474
2009777
SYN0010354
576493
SYN0010474
SYN0009986
SYN0008479
535560
SYN0009492
SYN0009214
SYN0008333
SYN0009846
SYN0009801
SYN0010118
SYN0009349
1382069
535553
SYN0009118
SYN0009803
SYN0009098
SYN0009293
SYN0008182
1475195
847763
SYN0010257
SYN0010432
SYN0010180
SYN0010492
688108
SYN0008886
SYN0004084
SYN0009847
SYN0009783
SYN0009824
SYN0004098
SYN0009950
SYN0009869
SYN0010282
SYN0010085
SYN0009049
SYN0009733
SYN0010565
SYN0009162
SYN0009252
SYN0010016
SYN0009115
SYN0008468
SYN0009789
SYN0010493
SYN0009856
SYN0009044
2223371
SYN0009474
SYN0009951
SYN0008311
SYN0009066
SYN0009931
SYN0009442
SYN0010371
1983217
SYN0009971
SYN0010166
577160
160823
SYN0004134
SYN0010202
1322596
SYN0008616
678788
SYN0008293
2223320
SYN0010397
SYN0008967
847748
1509894
SYN0009267
SYN0008769
1381982
535392
HFN0012402
SYN0008213
SYN0008315
SYN0008970
SYN0010137
SYN0010469
SYN0003957
SYN0010029
SYN0009138
2295535
SYN0010350
SYN0009224
675354
SYN0009097
SYN0010338
SYN0010440
SYN0009810
SYN0010264
SYN0010434
847925
SYN0010563
2295525
SYN0009969
SYN0009015
SYN0010295
SYN0010168
2295480
SYN0010051
SYN0010022
2295474
535391
SYN0008990
SYN0010404
577174
SYN0010190
SYN0008225
SYN0009933
SYN0009714
SYN0009990
SYN0010357
SYN0008199
2009881
SYN0010150
2295526
SYN0009019
2160878
847907
SYN0009797
SYN0009961
SYN0003916
SYN0009956
SYN0009501
SYN0010099
SYN0009069
SYN0010040
SYN0010111
841121
SYN0008325
SYN0010415
2297553
SYN0010098
SYN0009912
SYN0009751
SYN0008346
SYN0008986
847988
SYN0009418
SYN0008212
SYN0009014
SYN0010502
SYN0010566
SYN0009941
SYN0003839
2295521
SYN0009179
852249
847986
SYN0009987
SYN0009993
2295516
SYN0009121
2295465
SYN0007652
SYN0010311
SYN0008290
SYN0009742
1475242
SYN0008381
SYN0008960
SYN0009226
SYN0010242
SYN0008469
SYN0009760
SYN0009992
SYN0010045
SYN0009156
SYN0009074
SYN0009011
SYN0010343
SYN0009159
SYN0008151
SYN0009512
2295484
SYN0009102
847761
SYN0010570
2009862
SYN0008404
847893
SYN0009483
952141
SYN0009539
535153
SYN0010109
SYN0009100
SYN0009943
SYN0008141
SYN0009023
1975715
SYN0009158
847794
SYN0010294
1209493
848017
SYN0010120
SYN0009515
SYN0009315
SYN0004112
1382037
SYN0009945
847755
678752
SYN0010139
2295462
2295532
SYN0009207
2009867
SYN0008406
1381974
SYN0004146
847897
847775
576525
SYN0008401
SYN0010448
SYN0009710
2295461
2223345
1381963
SYN0010241
SYN0008874
SYN0009087
SYN0009170
SYN0009927
SYN0008332
SYN0010473
SYN0010546
SYN0008527
688115
2295460
SYN0010138
SYN0008419
SYN0008326
SYN0010053
SYN0010218
952128
SYN0010248
2297559
SYN0009050
SYN0009981
SYN0010107
SYN0010409
SYN0009203
2223367
SYN0009103
SYN0009830
2295473
SYN0003904
SYN0010208
SYN0009786
SYN0007693
SYN0009809
SYN0010423
SYN0009867
1382008
SYN0004132
SYN0010531
SYN0009944
2297581
2160884
SYN0009538
SYN0008968
SYN0009964
